GM_CODE,GM_NAAM,DM
GM0003,Appingedam,belangstelling
GM0005,Bedum,belangstelling
GM0007,Bellingwedde,nee
GM0009,Ten Boer,nee
GM0010,Delfzijl,nee
GM0014,Groningen,ja
GM0015,Grootegast,nee
GM0017,Haren,ja
GM0018,Hoogezand-Sappemeer,nee
GM0022,Leek,nee
GM0024,Loppersum,nee
GM0025,Marum,nee
GM0034,Almere,nee
GM0037,Stadskanaal,nee
GM0040,Slochteren,nee
GM0047,Veendam,nee
GM0048,Vlagtwedde,nee
GM0050,Zeewolde,nee
GM0053,Winsum,nee
GM0056,Zuidhorn,nee
GM0058,Dongeradeel,nee
GM0059,Achtkarspelen,nee
GM0060,Ameland,ja
GM0063,het Bildt,nee
GM0070,Franekeradeel,nee
GM0072,Harlingen,nee
GM0074,Heerenveen,nee
GM0079,Kollumerland en Nieuwkruisland,nee
GM0080,Leeuwarden,ja
GM0081,Leeuwarderadeel,nee
GM0085,Ooststellingwerf,nee
GM0086,Opsterland,nee
GM0088,Schiermonnikoog,ja
GM0090,Smallingerland,nee
GM0093,Terschelling,ja
GM0096,Vlieland,ja
GM0098,Weststellingwerf,nee
GM0106,Assen,nee
GM0109,Coevorden,nee
GM0114,Emmen,ja
GM0118,Hoogeveen,ja
GM0119,Meppel,nee
GM0140,Littenseradiel,ja
GM0141,Almelo,nee
GM0147,Borne,nee
GM0148,Dalfsen,nee
GM0150,Deventer,nee
GM0153,Enschede,nee
GM0158,Haaksbergen,nee
GM0160,Hardenberg,nee
GM0163,Hellendoorn,nee
GM0164,Hengelo,nee
GM0166,Kampen,nee
GM0168,Losser,nee
GM0171,Noordoostpolder,ja
GM0173,Oldenzaal,nee
GM0175,Ommen,nee
GM0177,Raalte,nee
GM0180,Staphorst,nee
GM0183,Tubbergen,nee
GM0184,Urk,nee
GM0189,Wierden,nee
GM0193,Zwolle,ja
GM0196,Rijnwaarden,nee
GM0197,Aalten,ja
GM0200,Apeldoorn,nee
GM0202,Arnhem,nee
GM0203,Barneveld,nee
GM0209,Beuningen,nee
GM0213,Brummen,nee
GM0214,Buren,nee
GM0216,Culemborg,nee
GM0221,Doesburg,nee
GM0222,Doetinchem,ja
GM0225,Druten,ja
GM0226,Duiven,nee
GM0228,Ede,belangstelling
GM0230,Elburg,nee
GM0232,Epe,ja
GM0233,Ermelo,nee
GM0236,Geldermalsen,nee
GM0241,Berg en Dal,nee
GM0243,Harderwijk,nee
GM0244,Hattem,nee
GM0246,Heerde,nee
GM0252,Heumen,nee
GM0262,Lochem,nee
GM0263,Maasdriel,nee
GM0267,Nijkerk,ja
GM0268,Nijmegen,belangstelling
GM0269,Oldebroek,nee
GM0273,Putten,ja
GM0274,Renkum,nee
GM0275,Rheden,ja
GM0277,Rozendaal,nee
GM0279,Scherpenzeel,nee
GM0281,Tiel,nee
GM0285,Voorst,nee
GM0289,Wageningen,ja
GM0293,Westervoort,nee
